STATION_ID,,DISPENSER_NUMBER,HOSE_NUMBER,GAS_SHORT_NAME,sum (Litres)
RYB0255,BALAKONG 1,1,1,DIESEL,14245.51
RYB0255,BALAKONG 1,1,2,PRIMAX 95,9984.461
RYB0255,BALAKONG 1,1,3,PRIMAX 95,5860.469
RYB0255,BALAKONG 1,2,1,DIESEL,9790.865
RYB0255,BALAKONG 1,2,2,PRIMAX 95,10022.905
RYB0255,BALAKONG 1,2,3,PRIMAX 95,2915.883
RYB0255,BALAKONG 1,3,1,PRIMAX 95,16852.42
RYB0255,BALAKONG 1,3,2,PRIMAX 97,2507.925
RYB0255,BALAKONG 1,3,3,PRIMAX 97,1189.431
RYB0255,BALAKONG 1,4,1,PRIMAX 95,12393.691
RYB0255,BALAKONG 1,4,2,PRIMAX 97,2134.667
RYB0255,BALAKONG 1,4,3,PRIMAX 97,981.593
RYB0255,BALAKONG 1,5,1,PRIMAX 95,21236.21
RYB0255,BALAKONG 1,5,2,PRIMAX 97,4436.417
RYB0255,BALAKONG 1,6,1,PRIMAX 95,17332.906
RYB0255,BALAKONG 1,6,2,PRIMAX 97,2670.95
RYB0255,BALAKONG 1,7,1,DIESEL,7959.383
RYB0255,BALAKONG 1,7,2,PRIMAX 95,16110.503
RYB0255,BALAKONG 1,8,1,DIESEL,14158.356
RYB0255,BALAKONG 1,8,2,PRIMAX 95,8646.191
RYB0255,BALAKONG 1,9,1,PRIMAX 95,3847.637
RYB0255,BALAKONG 1,10,1,PRIMAX 95,4767.626
RYB0255,BALAKONG 1,11,1,PRIMAX 95,3267.478
RYB0255,BALAKONG 1,12,1,PRIMAX 95,3644.931
RYB0255,BALAKONG 1,13,1,PRIMAX 95,5106.779
RYB0255,BALAKONG 1,13,2,PRIMAX 95,7714.187
RYB0255,BALAKONG 1,14,1,PRIMAX 95,12338.53
RYB0255,BALAKONG 1,14,2,PRIMAX 95,3082.814
RYB0255,BALAKONG 1,15,1,PRIMAX 95,15556.887
RYB0255,BALAKONG 1,16,1,PRIMAX 95,14833.137
RYB0692,KOTA DAMANSARA 1,1,1,PRIMAX 95,243030.386
RYB0692,KOTA DAMANSARA 1,1,2,PRIMAX 97,57081.005
RYB0692,KOTA DAMANSARA 1,2,1,PRIMAX 95,499032.293
RYB0692,KOTA DAMANSARA 1,2,2,PRIMAX 97,67578.738
RYB0692,KOTA DAMANSARA 1,3,1,PRIMAX 95,120580.504
RYB0692,KOTA DAMANSARA 1,3,2,DIESEL,22840.658
RYB0692,KOTA DAMANSARA 1,3,3,PRIMAX 95,25138.178
RYB0692,KOTA DAMANSARA 1,3,4,PRIMAX 97,34380.863
RYB0692,KOTA DAMANSARA 1,4,1,PRIMAX 95,325903.55
RYB0692,KOTA DAMANSARA 1,4,2,DIESEL,48969.785
RYB0692,KOTA DAMANSARA 1,4,3,PRIMAX 95,68016.133
RYB0692,KOTA DAMANSARA 1,4,4,PRIMAX 97,57590.466
RYB0692,KOTA DAMANSARA 1,5,1,PRIMAX 97,116025.434
RYB0692,KOTA DAMANSARA 1,5,2,PRIMAX 95,406488.852
RYB0692,KOTA DAMANSARA 1,6,1,PRIMAX 97,113513.406
RYB0692,KOTA DAMANSARA 1,6,2,PRIMAX 95,565360.479
RYB0692,KOTA DAMANSARA 1,7,1,PRIMAX 95,274902.303
RYB0692,KOTA DAMANSARA 1,7,2,DIESEL,24053.547
RYB0692,KOTA DAMANSARA 1,7,3,PRIMAX 95,73036.787
RYB0692,KOTA DAMANSARA 1,7,4,PRIMAX 97,80688.287
RYB0692,KOTA DAMANSARA 1,8,1,PRIMAX 95,440805.148
RYB0692,KOTA DAMANSARA 1,8,2,DIESEL,48675.633
RYB0692,KOTA DAMANSARA 1,8,3,PRIMAX 95,85435.606
RYB0692,KOTA DAMANSARA 1,8,4,PRIMAX 97,68843.88
RYB0692,KOTA DAMANSARA 1,9,1,DIESEL,27199.315
RYB0692,KOTA DAMANSARA 1,9,2,PRIMAX 95,429076.143
RYB0692,KOTA DAMANSARA 1,9,3,PRIMAX 97,69336.93
RYB0692,KOTA DAMANSARA 1,10,1,DIESEL,51816.955
RYB0692,KOTA DAMANSARA 1,10,2,PRIMAX 95,424096.25
RYB0692,KOTA DAMANSARA 1,10,3,PRIMAX 97,47309.942
RYB0692,KOTA DAMANSARA 1,11,1,DIESEL,52979.237
RYB0692,KOTA DAMANSARA 1,11,2,PRIMAX 95,343579.786
RYB0692,KOTA DAMANSARA 1,12,1,DIESEL,81271.146
RYB0692,KOTA DAMANSARA 1,12,2,PRIMAX 95,307995.151
RYB0692,KOTA DAMANSARA 1,13,1,DIESEL,140367.839
RYB0692,KOTA DAMANSARA 1,14,1,DIESEL,136397.62
