problem_category,problem_type
Hose,Breakaway Coupling / Venting Hose Came Off
Hose,Breakaway Coupling Dislodged
Hose,Breakaway Coupling Leaking
Hose,Hose Deformed
Hose,Hose Leaking
Hose,Hose Worn Off / Cracked
Hose,Short Hose Came Off
Hose,Short Hose Cracked
Hose,Short Hose Leaking
Hose,Swivel Joint Leaking
Nozzle,Guard Worn Out / Missing
Nozzle,Latch Spring Faulty
Nozzle,Latch Spring Missing / Broken
Nozzle,No Auto Stop
Nozzle,Nozzle 3 Way Valve Broken
Nozzle,Nozzle Faulty / Broke
Nozzle,Nozzle Leaking
Nozzle,Spout Leaking
Nozzle,Spout Spring Broken /Missing
Nozzle,Trigger Loose / Hard To Press
