station_id,business_partner_name
RYM0213,PSS A KEROH RSA (NB)
RYJ0284,PSS FELDA SG MAS
RYB0449,PSS IJOK
RYJ0418,PSS JLN BAKRI 2
RYM0315,PSS JLN TUN PERAK
RYN0864,PSS KUALA PILAH 2
RYD0303,PSS PENGKALAN KUBOR
RYJ0564,PSS TMN SELESA JAYA
RYM0543,PSS AIR MOLEK
RYJ0730,PSS BDR PUTRA 1
RYD0527,PSS MUKIM LEMAL
RYN1209,PSS NILAI IMPIAN
RYJ0185,PSS KM 11 JLN SKUDAI
RYJ0991,PSS PARIT BINTANG
RYN0261,PSS BAHAU 1 ROMPIN
RYJ0998,PSS BDR INDAHPURA
RYM0198,PSS CHENG
RYB0036,PSS SUBANG AIRPORT
RYT1117,PSS BATU 22 KUALA BERANG
RYJ0120,PSS KOTA TINGGI
RYJ0208,PSS SIMPANG RENGGAM
RYW0510,PSS LOT 353 J CHERAS
RYN0232,PSS MANTIN
RYJ0142,PSS BUKIT GAMBIR
RYJ0109,PSS FELDA BUKIT WAHA
RYT1145,PSS GELIGA
RYA0373,PSS KG KOH
RYJ1017,PSS LEBOH DESA CEMERLANG
RYM0175,PSS LUBUK CINA
RYD1086,PSS MACHANG BY-PASS
RYJ0955,PSS TMN IMPIAN EMAS
RYJ1018,PSS JLN ROSEMERAH
RYM0114,PSS BATU BERENDAM
RYD0426,PSS KEMAHANG
RYN1230,PSS KLIA QUARTERS
RYJ0512,PSS MACHAP A SELATAN
RYJ0644,PSS PASIR GUDANG H/WAY 3
RYP0027,PSS GREEN LANE (MASJID NEGERI)
RYK0371,PSS KELEBANG L'KAWI
RYC1204,PSS DAMANSARA KUANTAN
RYJ0767,PSS TMN CAHAYA MASAI
RYJ0442,PSS AIR HITAM
RYJ0136,PSS DESARU
RYJ0936,PSS JLN ULU TIRAM
RYB0606,PSS SG CHOH RAWANG
RYD0288,PSS TUMPAT
RYJ1072,PSS BUKIT INDAH 1
RYC1164,PSS BUKIT PELINDUNG
RYJ0960,PSS KM 13 JLN SKUDAI
RYM1104,PSS BANDAR BARU SUNGAI UDANG
RYC0409,PSS JLN TRAS BENTONG
RYM1195,PSS BUKIT KATIL
RYJ0901,PSS SIMPANG KANAN 2
RYJ1211,PSS TAN SWEE HOE
RYJ0775,PSS TMN BAYU PUTERI
RYD0046,PSS PASIR PEKAN
RYP0089,PSS BAGAN AJAM
RYJ0545,PSS JAYA SEPAKAT
RYN0593,PSS KUALA KLAWANG
RYN0009,PSS TMN MARIDA
