station_id,pump,gas_type,Start_date,lifetime,Seed=2  Test Size=0.5,Date P1,Seed=4  Test Size=0.4,Date P2,Seed=4  Test Size=0.5,Date P3,Seed=6  Test Size=0.5,Date P3,,,,,,
1,1,95,2018-05-24,0,104,2018-09-05,118,2018-09-19,118,2018-09-19,240,2019-01-19,,,,,,
1,1,90,2018-01-26,0,11,2018-02-06,390,2019-02-20,390,2019-02-20,49,2018-03-16,,,,,,
1,2,95,2018-03-06,0,11,2018-03-17,49,2018-04-24,49,2018-04-24,49,2018-04-24,,,,,,
1,5,95,2018-07-17,0,11,2018-07-28,11,2018-07-28,11,2018-07-28,85,2018-10-10,,,,,,
1,6,95,2018-06-18,0,104,2018-09-30,118,2018-10-14,118,2018-10-14,240,2019-02-13,,,,,,
1,8,90,2018-02-27,0,145,2018-07-22,129,2018-07-06,133,2018-07-10,49,2018-04-17,,,,,,
1,9,95,2018-05-05,0,104,2018-08-17,118,2018-08-31,118,2018-08-31,240,2018-12-31,,,,,,
1,10,95,2018-06-26,0,104,2018-10-08,118,2018-10-22,118,2018-10-22,240,2019-02-21,,,,,,
1,11,95,2018-06-26,0,104,2018-10-08,118,2018-10-22,118,2018-10-22,104,2018-10-08,,,,,,
1,12,95,2018-06-26,0,104,2018-10-08,118,2018-10-22,118,2018-10-22,104,2018-10-08,,,,,,
1,13,95,2018-03-06,0,145,2018-07-29,37,2018-04-12,133,2018-07-17,49,2018-04-24,,,,,,
1,15,95,2018-09-15,0,104,2018-12-28,118,2019-01-11,118,2019-01-11,104,2018-12-28,,,,,,
1,16,95,2017-11-02,0,145,2018-03-27,53,2017-12-25,145,2018-03-27,145,2018-03-27,,,,,,
2,3,95,2017-03-26,0,4,2017-03-30,30,2017-04-25,174,2017-09-16,145,2017-08-18,,,,,,
2,4,95,2017-03-26,0,4,2017-03-30,30,2017-04-25,174,2017-09-16,145,2017-08-18,,,,,,
2,6,95,2018-03-07,0,103,2018-06-18,118,2018-07-03,118,2018-07-03,240,2018-11-02,,,,,,
2,7,95,2017-03-26,0,4,2017-03-30,30,2017-04-25,174,2017-09-16,145,2017-08-18,,,,,,
2,8,95,2017-03-26,0,145,2017-08-18,30,2017-04-25,174,2017-09-16,145,2017-08-18,,,,,,
2,8,97,2017-03-03,0,145,2017-07-26,4,2017-03-07,136,2017-07-17,145,2017-07-26,,,,,,
2,11,95,2018-03-16,0,103,2018-06-27,118,2018-07-12,118,2018-07-12,104,2018-06-28,,,,,,
2,11,90,2018-03-29,0,103,2018-07-10,118,2018-07-25,118,2018-07-25,104,2018-07-11,,,,,,
2,12,90,2018-03-29,0,103,2018-07-10,118,2018-07-25,118,2018-07-25,104,2018-07-11,,,,,,
3,2,95,2017-12-11,0,88,2018-03-09,72,2018-02-21,78,2018-02-27,62,2018-02-11,,,,,,
3,3,95,2017-12-06,0,88,2018-03-04,78,2018-02-22,83,2018-02-27,62,2018-02-06,,,,,,
3,4,95,2017-09-05,0,88,2017-12-02,133,2018-01-16,130,2018-01-13,133,2018-01-16,,,,,,
3,4,90,2018-02-10,0,103,2018-05-24,118,2018-06-08,118,2018-06-08,240,2018-10-08,,,,,,
3,5,95,2018-02-07,0,62,2018-04-10,57,2018-04-05,55,2018-04-03,49,2018-03-28,,,,,,
3,6,95,2018-05-24,0,103,2018-09-04,118,2018-09-19,118,2018-09-19,240,2019-01-19,,,,,,
3,8,95,2018-03-31,0,103,2018-07-12,118,2018-07-27,118,2018-07-27,240,2018-11-26,,,,,,
3,10,95,2018-03-26,0,103,2018-07-07,118,2018-07-22,118,2018-07-22,240,2018-11-21,,,,,,
3,11,95,2017-06-05,0,145,2017-10-28,36,2017-07-11,155,2017-11-07,133,2017-10-16,,,,,,
